Date,Children_Apprehended_CBP,CBP_Care_Load,Transfers_to_HHS,HHS_Care_Load,Discharges_from_HHS,Placement_Demand
2023-03-20,220,622,214,758,239,292
2023-03-21,228,634,222,770,247,302
2023-03-22,236,646,230,784,256,314
2023-03-23,242,656,238,794,264,323
2023-03-24,248,670,246,808,270,332
2023-03-25,255,682,252,820,278,340
2023-03-26,258,688,260,828,284,348
2023-03-27,262,695,265,840,290,356
2023-03-28,268,704,272,852,298,366
2023-03-29,274,714,280,864,304,374
2023-03-30,280,724,288,878,312,384
2023-03-31,286,734,294,890,320,392
2023-04-01,292,742,300,902,328,402
2023-04-02,298,752,308,916,335,411
2023-04-03,304,762,314,928,342,420
2023-04-04,310,772,320,940,350,430
2023-04-05,318,784,332,954,356,442
2023-04-06,324,794,340,968,364,454
2023-04-07,330,806,348,982,372,464
2023-04-08,336,818,354,996,380,474
2023-04-09,340,826,360,1008,388,484
2023-04-10,344,834,366,1018,394,492
2023-04-11,348,842,372,1028,402,500
2023-04-12,350,848,378,1038,408,508
2023-04-13,354,854,382,1048,414,514
2023-04-14,360,864,390,1058,420,520
2023-04-15,366,874,398,1068,426,528
2023-04-16,372,884,404,1078,432,536
2023-04-17,378,892,410,1088,440,544
2023-04-18,380,898,414,1098,448,552
2023-04-19,384,904,420,1108,454,560
2023-04-20,390,914,426,1118,462,570
2023-04-21,396,924,432,1128,470,578
2023-04-22,402,934,438,1138,476,586
2023-04-23,406,942,444,1148,482,594
2023-04-24,412,950,452,1158,490,602
2023-04-25,418,960,460,1170,498,612
2023-04-26,424,970,466,1180,506,620
2023-04-27,430,980,472,1190,514,628
2023-04-28,436,990,480,1202,522,638
2023-04-29,442,998,488,1214,530,646
2023-04-30,448,1008,494,1228,538,654
2023-05-01,454,1018,500,1240,548,666
2023-05-02,458,1026,506,1252,556,676
2023-05-03,462,1032,510,1264,564,688
2023-05-04,468,1044,518,1278,572,698
2023-05-05,472,1054,524,1290,578,706
2023-05-06,476,1062,532,1300,584,714
2023-05-07,480,1068,538,1310,592,724
2023-05-08,486,1076,544,1320,600,734
2023-05-09,490,1084,548,1328,608,742
2023-05-10,495,1092,552,1338,614,750
2023-05-11,500,1100,560,1348,620,758
2023-05-12,506,1108,568,1358,626,764
2023-05-13,510,1116,574,1368,632,772
2023-05-14,515,1124,582,1378,640,780
2023-05-15,520,1132,588,1388,648,788
2023-05-16,526,1140,596,1398,658,798
2023-05-17,532,1148,600,1408,664,806
2023-05-18,538,1154,606,1416,670,812
2023-05-19,544,1162,614,1424,678,820
2023-05-20,550,1170,622,1432,684,828
2023-05-21,556,1178,628,1440,692,836
2023-05-22,562,1188,634,1450,700,844
2023-05-23,568,1198,640,1460,708,852
2023-05-24,574,1208,646,1470,716,860
2023-05-25,580,1218,652,1480,724,868
2023-05-26,584,1225,658,1488,730,874
2023-05-27,590,1232,664,1496,738,882
2023-05-28,596,1240,670,1504,746,892
2023-05-29,602,1248,676,1512,754,900
2023-05-30,608,1256,682,1520,760,908
2023-05-31,612,1262,688,1526,766,912
2023-06-01,618,1270,694,1534,772,918
2023-06-02,624,1278,700,1542,780,926
2023-06-03,630,1286,708,1550,786,934
2023-06-04,636,1294,714,1558,794,942
2023-06-05,642,1302,720,1566,800,950
2023-06-06,648,1310,728,1574,806,958
2023-06-07,654,1318,734,1582,812,966
2023-06-08,660,1328,742,1592,820,978
2023-06-09,666,1338,748,1602,828,984
2023-06-10,670,1346,754,1610,836,992
2023-06-11,676,1354,760,1620,844,1000
2023-06-12,682,1362,768,1630,852,1010
2023-06-13,688,1370,774,1640,860,1020
2023-06-14,694,1378,782,1650,870,1030
2023-06-15,700,1388,790,1662,880,1040
2023-06-16,706,1398,798,1674,890,1052
2023-06-17,712,1408,804,1688,900,1066
2023-06-18,718,1418,812,1700,910,1078
2023-06-19,724,1426,820,1712,918,1088
2023-06-20,730,1434,828,1724,926,1098
2023-06-21,736,1442,836,1736,934,1108
2023-06-22,742,1450,844,1748,942,1118
2023-06-23,748,1458,852,1760,950,1128
2023-06-24,754,1466,860,1772,958,1138
2023-06-25,760,1474,868,1784,966,1148
2023-06-26,766,1482,876,1796,974,1158
2023-06-27,772,1490,884,1810,978,1168
2023-06-28,778,1498,892,1822,984,1176
2023-06-29,782,1506,900,1836,990,1184
2023-06-30,788,1514,908,1848,996,1192
2023-07-01,794,1522,916,1860,1004,1200
2023-07-02,800,1530,924,1874,1012,1208
2023-07-03,806,1538,932,1886,1018,1216
2023-07-04,812,1546,940,1898,1024,1224
2023-07-05,818,1554,948,1912,1030,1232
2023-07-06,824,1562,956,1926,1038,1240
2023-07-07,830,1570,964,1940,1046,1248
2023-07-08,836,1578,972,1954,1054,1256
2023-07-09,842,1586,980,1968,1062,1264
2023-07-10,848,1594,988,1982,1070,1272
2023-07-11,854,1602,996,1996,1078,1280
2023-07-12,860,1610,1004,2010,1086,1288
2023-07-13,866,1618,1012,2024,1094,1296
2023-07-14,872,1626,1020,2040,1102,1304
2023-07-15,878,1634,1028,2056,1110,1312
2023-07-16,884,1642,1036,2072,1118,1320
2023-07-17,890,1650,1044,2088,1126,1328
2023-07-18,896,1658,1052,2104,1134,1336
2023-07-19,902,1666,1060,2120,1142,1344
2023-07-20,908,1674,1068,2136,1150,1352
2023-07-21,914,1682,1076,2152,1158,1360
2023-07-22,920,1690,1084,2168,1166,1370
2023-07-23,926,1698,1092,2184,1174,1380
2023-07-24,932,1706,1100,2200,1182,1390
2023-07-25,938,1714,1108,2216,1190,1400
2023-07-26,944,1722,1116,2232,1198,1410
2023-07-27,950,1730,1124,2248,1206,1420
2023-07-28,956,1738,1132,2264,1214,1430
2023-07-29,962,1746,1140,2280,1222,1440
2023-07-30,968,1754,1148,2296,1230,1450
2023-07-31,974,1762,1156,2312,1238,1460
2023-08-01,980,1770,1164,2328,1246,1470
2023-08-02,986,1778,1172,2344,1254,1480
2023-08-03,992,1786,1180,2360,1262,1490
2023-08-04,998,1794,1188,2376,1270,1500
2023-08-05,1004,1802,1196,2392,1278,1510
2023-08-06,1010,1810,1204,2408,1286,1520
2023-08-07,1016,1818,1212,2424,1294,1530
2023-08-08,1022,1826,1220,2440,1302,1540
2023-08-09,1028,1834,1228,2456,1310,1550
2023-08-10,1034,1842,1236,2472,1318,1560
2023-08-11,1040,1850,1244,2488,1326,1570
2023-08-12,1046,1858,1252,2504,1334,1580
2023-08-13,1052,1866,1260,2520,1342,1590
2023-08-14,1058,1874,1268,2536,1350,1600
2023-08-15,1064,1882,1276,2552,1358,1610
2023-08-16,1070,1890,1284,2568,1366,1620
2023-08-17,1076,1898,1292,2584,1374,1630
2023-08-18,1082,1906,1300,2600,1382,1640
2023-08-19,1088,1914,1308,2616,1390,1650
2023-08-20,1094,1922,1316,2632,1398,1660
2023-08-21,1100,1930,1324,2648,1406,1670
2023-08-22,1106,1938,1332,2664,1414,1680
2023-08-23,1112,1946,1340,2680,1422,1690
2023-08-24,1118,1954,1348,2696,1430,1700
2023-08-25,1124,1962,1356,2712,1438,1710
2023-08-26,1130,1970,1364,2728,1446,1720
2023-08-27,1136,1978,1372,2744,1454,1730
2023-08-28,1142,1986,1380,2760,1462,1740
2023-08-29,1148,1994,1388,2776,1470,1750
2023-08-30,1154,2002,1396,2792,1478,1760
2023-08-31,1160,2010,1404,2808,1486,1770
2023-09-01,1166,2018,1412,2824,1494,1780
2023-09-02,1172,2026,1420,2840,1502,1790
2023-09-03,1178,2034,1428,2856,1510,1800
2023-09-04,1184,2042,1436,2872,1518,1810
2023-09-05,1190,2050,1444,2888,1526,1820
2023-09-06,1196,2058,1452,2904,1534,1830
2023-09-07,1202,2066,1460,2920,1542,1840
2023-09-08,1208,2074,1468,2936,1550,1850
2023-09-09,1214,2082,1476,2952,1558,1860
2023-09-10,1220,2090,1484,2968,1566,1870
2023-09-11,1226,2098,1492,2984,1574,1880
2023-09-12,1232,2106,1500,3000,1582,1890
2023-09-13,1238,2114,1508,3016,1590,1900
2023-09-14,1244,2122,1516,3032,1598,1910
2023-09-15,1250,2130,1524,3048,1606,1920
2023-09-16,1256,2138,1532,3064,1614,1930
2023-09-17,1262,2146,1540,3080,1622,1940
2023-09-18,1268,2154,1548,3096,1630,1950
2023-09-19,1274,2162,1556,3112,1638,1960
2023-09-20,1280,2170,1564,3128,1646,1970
2023-09-21,1286,2178,1572,3144,1654,1980
2023-09-22,1292,2186,1580,3160,1662,1990
2023-09-23,1298,2194,1588,3176,1670,2000
2023-09-24,1304,2202,1596,3192,1678,2010
2023-09-25,1310,2210,1604,3208,1686,2020
2023-09-26,1316,2218,1612,3224,1694,2030
2023-09-27,1322,2226,1620,3240,1702,2040
2023-09-28,1328,2234,1628,3256,1710,2050
2023-09-29,1334,2242,1636,3272,1718,2060
2023-09-30,1340,2250,1644,3288,1726,2070
2023-10-01,1346,2258,1652,3304,1734,2080
2023-10-02,1352,2266,1660,3320,1742,2090
2023-10-03,1358,2274,1668,3336,1750,2100
2023-10-04,1364,2282,1676,3352,1758,2110
2023-10-05,1370,2290,1684,3368,1766,2120
2023-10-06,1376,2298,1692,3384,1774,2130
2023-10-07,1382,2306,1700,3400,1782,2140
2023-10-08,1388,2314,1708,3416,1790,2150
2023-10-09,1394,2322,1716,3432,1798,2160
2023-10-10,1400,2330,1724,3448,1806,2170
2023-10-11,1406,2338,1732,3464,1814,2180
2023-10-12,1412,2346,1740,3480,1822,2190
2023-10-13,1418,2354,1748,3496,1830,2200
2023-10-14,1424,2362,1756,3512,1838,2210
2023-10-15,1430,2370,1764,3528,1846,2220
2023-10-16,1436,2378,1772,3544,1854,2230
2023-10-17,1442,2386,1780,3560,1862,2240
2023-10-18,1448,2394,1788,3576,1870,2250
2023-10-19,1454,2402,1796,3592,1878,2260
2023-10-20,1460,2410,1804,3608,1886,2270
2023-10-21,1466,2418,1812,3624,1894,2280
2023-10-22,1472,2426,1820,3640,1902,2290
2023-10-23,1478,2434,1828,3656,1910,2300
2023-10-24,1484,2442,1836,3672,1918,2310
2023-10-25,1490,2450,1844,3688,1926,2320
2023-10-26,1496,2458,1852,3704,1934,2330
2023-10-27,1502,2466,1860,3720,1942,2340
2023-10-28,1508,2474,1868,3736,1950,2350
2023-10-29,1514,2482,1876,3752,1958,2360
2023-10-30,1520,2490,1884,3768,1966,2370
2023-10-31,1526,2498,1892,3784,1974,2380
2023-11-01,1532,2506,1900,3800,1982,2390
2023-11-02,1538,2514,1908,3816,1990,2400
2023-11-03,1544,2522,1916,3832,1998,2410
2023-11-04,1550,2530,1924,3848,2006,2420
2023-11-05,1556,2538,1932,3864,2014,2430
2023-11-06,1562,2546,1940,3880,2022,2440
2023-11-07,1568,2554,1948,3896,2030,2450
2023-11-08,1574,2562,1956,3912,2038,2460
2023-11-09,1580,2570,1964,3928,2046,2470
2023-11-10,1586,2578,1972,3944,2054,2480
2023-11-11,1592,2586,1980,3960,2062,2490
2023-11-12,1598,2594,1988,3976,2070,2500
2023-11-13,1604,2602,1996,3992,2078,2510
2023-11-14,1610,2610,2004,4008,2086,2520
2023-11-15,1616,2618,2012,4024,2094,2530
2023-11-16,1622,2626,2020,4040,2102,2540
2023-11-17,1628,2634,2028,4056,2110,2550
2023-11-18,1634,2642,2036,4072,2118,2560
2023-11-19,1640,2650,2044,4088,2126,2570
2023-11-20,1646,2658,2052,4104,2134,2580
2023-11-21,1652,2666,2060,4120,2142,2590
2023-11-22,1658,2674,2068,4136,2150,2600
2023-11-23,1664,2682,2076,4152,2158,2610
2023-11-24,1670,2690,2084,4168,2166,2620
2023-11-25,1676,2698,2092,4184,2174,2630
2023-11-26,1682,2706,2100,4200,2182,2640
2023-11-27,1688,2714,2108,4216,2190,2650
2023-11-28,1694,2722,2116,4232,2198,2660
2023-11-29,1700,2730,2124,4248,2206,2670
2023-11-30,1706,2738,2132,4264,2214,2680
2023-12-01,1712,2746,2140,4280,2222,2690
2023-12-02,1718,2754,2148,4296,2230,2700
2023-12-03,1724,2762,2156,4312,2238,2710
2023-12-04,1730,2770,2164,4328,2246,2720
2023-12-05,1736,2778,2172,4344,2254,2730
2023-12-06,1742,2786,2180,4360,2262,2740
2023-12-07,1748,2794,2188,4376,2270,2750
2023-12-08,1754,2802,2196,4392,2278,2760
2023-12-09,1760,2810,2204,4408,2286,2770
2023-12-10,1766,2818,2212,4424,2294,2780
2023-12-11,1772,2826,2220,4440,2302,2790
2023-12-12,1778,2834,2228,4456,2310,2800
2023-12-13,1784,2842,2236,4472,2318,2810
2023-12-14,1790,2850,2244,4488,2326,2820
2023-12-15,1796,2858,2252,4504,2334,2830
2023-12-16,1802,2866,2260,4520,2342,2840
2023-12-17,1808,2874,2268,4536,2350,2850
2023-12-18,1814,2882,2276,4552,2358,2860
2023-12-19,1820,2890,2284,4568,2366,2870
2023-12-20,1826,2898,2292,4584,2374,2880
2023-12-21,1832,2906,2300,4600,2382,2890
2023-12-22,1838,2914,2308,4616,2390,2900
2023-12-23,1844,2922,2316,4632,2398,2910
2023-12-24,1850,2930,2324,4648,2406,2920
2023-12-25,1856,2938,2332,4664,2414,2930
2023-12-26,1862,2946,2340,4680,2422,2940
2023-12-27,1868,2954,2348,4696,2430,2950
2023-12-28,1874,2962,2356,4712,2438,2960
2023-12-29,1880,2970,2364,4728,2446,2970
2023-12-30,1886,2978,2372,4744,2454,2980
2023-12-31,1892,2986,2380,4760,2462,2990
